,High Barnet,,,04:40:00,04:40:00,04:40:00
,northern_bank => Finchley Central,,00:09,04:52:00,04:53:00,04:54:00
,northern_mill_hill => Mill Hill East,,00:03,04:58:00,05:00:00,05:02:00
,northern_mill_hill => Finchley Central,,00:03,05:04:00,05:07:00,05:10:00
,northern_bank => Kennington,,00:35,05:42:00,05:46:00,05:50:00
,northern_bank => Oval,,00:01,05:46:00,05:51:00,05:56:00
,northern_charing_cross => Edgware,,00:46,06:35:00,06:41:00,06:47:00
,other => Canons Park,,00:20,06:58:00,07:05:00,07:12:00
,jubilee => Stanmore,,00:02,07:03:00,07:11:00,07:19:00
,jubilee => Baker Street,,00:29,07:35:00,07:44:00,07:53:00
,hammersmith => King's Cross St. Pancras,,00:05,07:43:00,07:53:00,08:03:00
,piccadilly_2 => Covent Garden           ,,00:05,07:51:00,08:02:00,08:13:00
,piccadilly_2 => Cockfosters             ,,00:37,08:31:00,08:43:00,08:55:00
,piccadilly_2 => Finsbury Park,,00:22,08:56:00,09:09:00,09:22:00
,victoria => Walthamstow Central,,00:09,09:08:00,09:22:00,09:36:00
,victoria => King's Cross St. Pancras,,00:15,09:26:00,09:41:00,09:56:00
,metropolitan_4 => Aldgate,,00:11,09:40:00,09:56:00,10:12:00
,circle => South Kensington,,00:21,10:04:00,10:21:00,10:38:00
,piccadilly_1 => Piccadilly Circus,,00:08,10:15:00,10:33:00,10:51:00
,bakerloo => Harrow & Wealdstone,,00:39,10:57:00,11:16:00,11:35:00
,bakerloo => Kenton,,00:02,11:02:00,11:22:00,11:42:00
,other => 0:15 => Preston Road,,00:15,11:20:00,11:41:00,12:02:00
,metropolitan_1 => Watford,,00:26,11:49:00,12:11:00,12:33:00
,metropolitan_1 => Moor Park,,00:07,11:59:00,12:22:00,12:45:00
,metropolitan_3 => Chesham,,00:21,12:23:00,12:47:00,13:11:00
,metropolitan_3 => Chalfont & Latimer,,00:08,12:34:00,12:59:00,13:24:00
,metropolitan_2 => Amersham,,00:03,12:40:00,13:06:00,13:32:00
,metropolitan_2 => Harrow-on-the-Hill,,00:29,13:12:00,13:39:00,14:06:00
,metropolitan_4 => Uxbridge,,00:19,13:34:00,14:02:00,14:30:00
,piccadilly_1 => North Ealing,,00:28,14:05:00,14:34:00,15:03:00
,piccadilly_1 => Park Royal,,00:02,14:10:00,14:40:00,15:10:00
,other => 0:10 => Hanger Lane,,00:10,14:23:00,14:54:00,15:25:00
,central_roding_ => West Ruislip,,00:14,14:40:00,15:12:00,15:44:00
,central_roding_ => North Acton,,00:17,15:00:00,15:33:00,16:06:00
,central_ealing_broadway => Ealing Broadway,,00:05,15:08:00,15:42:00,16:16:00
,central_ealing_broadway => Epping,,01:11,16:22:00,16:57:00,17:32:00
,central_ealing_broadway => Woodford,,00:15,16:40:00,17:16:00,17:52:00
,other => 0:10 => Roding Valley,,00:02,16:45:00,17:22:00,17:59:00
,central_roding_ => Stratford,,00:16,17:04:00,17:42:00,18:20:00
,jubilee => West Ham,,00:03,17:10:00,17:49:00,18:28:00
,other => 0:20 => Upminster,,00:20,17:33:00,18:13:00,18:53:00
,district_1 => Aldgate East,,00:42,18:18:00,18:59:00,19:40:00
,district_1 => West Ham,,00:13,18:34:00,19:16:00,19:58:00
,jubilee => Waterloo,,00:16,18:53:00,19:36:00,20:19:00
,bakerloo => Elephant & Castle,,00:04,19:00:00,19:44:00,20:28:00
,northern_bank => Stockwell,,00:06,19:09:00,19:54:00,20:39:00
,victoria => Pimlico,,00:03,19:15:00,20:01:00,20:47:00
,victoria => Brixton,,00:05,19:23:00,20:10:00,20:57:00
,victoria => Stockwell,,00:02,19:28:00,20:16:00,21:04:00
,northern_bank => Morden,,00:17,19:48:00,20:37:00,21:26:00
,northern_bank => South Wimbledon,,00:02,19:53:00,20:43:00,21:33:00
,other => 0:15 => Wimbledon,,00:15,20:11:00,21:02:00,21:53:00
,district_3 => Gloucester Road,,00:22,20:36:00,21:28:00,22:20:00
,circle => Edgware Road (Circle Line),,00:12,20:51:00,21:44:00,22:37:00
,hammersmith => Hammersmith (H&C Line),,00:16,21:10:00,22:04:00,22:58:00
,other => 0:10 => Hammersmith (Dist&Picc Line),,00:10,21:23:00,22:18:00,23:13:00
,district_1 => West Kensington,,00:03,21:29:00,22:25:00,23:21:00
,district_1 => Richmond,,00:18,21:50:00,22:47:00,23:44:00
,district_1 => Turnham Green,,00:09,22:02:00,23:00:00,23:58:00
,district_2 => Ealing Common,,00:07,22:12:00,23:11:00,00:10:00
,district_2 => Acton Town,,00:03,22:18:00,23:18:00,00:18:00
,piccadilly_2 => Heathrow Terminals 1-2-3,,00:30,22:51:00,23:52:00,00:53:00
,piccadilly_3 => Heathrow Terminal 5,,00:05,22:59:00,00:01:00,01:03:00
,,,,,,
,,,,18:07:00,19:08:00,20:09:00
